URL,Label,LP,SP
amazon.in,legit,0.90,0.10
houseofstori.com,legit,0.90,0.10
blendjet.com,legit,0.90,0.10
target.com,legit,0.70,0.30
lilsoles.ca,legit,0.70,0.30
amazon.com,legit,0.90,0.10
homedepot.com,legit,0.70,0.30
potenzapothekede.com,legit,0.90,0.10
luminarc.com,legit,0.70,0.30
diffeyewear.com,legit,0.90,0.10
shopee.co.id,scam,0.20,0.80
amazon.fr,legit,0.90,0.10
trendyol.com,legit,0.90,0.10
manscaped.com,legit,0.90,0.10
allbirds.com,legit,0.90,0.10
mignonfaget.com,legit,0.90,0.10
pinko-kz.kz,scam,0.45,0.55
walmart.com,legit,0.70,0.30
hardyofficial.com,legit,0.90,0.10
canna-seeds.com.ua,scam,0.45,0.55
ozone.ru,legit,0.70,0.30
jojomommy.com,legit,0.90,0.10
lovebonito.com,legit,0.70,0.30
colourpop.com,legit,0.90,0.10
rakuten.com,legit,0.90,0.10
closetlondon.com,legit,0.70,0.30
temu.com,legit,0.90,0.10
meethue.com,legit,0.90,0.10
paclights.com,legit,0.90,0.10
magicsneaker.com,legit,0.90,0.10
puravidabracelets.com,legit,0.90,0.10
aliexpress.com,legit,0.70,0.30
travelcoffeebook.com,legit,0.90,0.10
kaspi.kz,legit,0.90,0.10
h2obungalow.com,legit,0.90,0.10
wildberries.ru,legit,0.70,0.30
quip.com,legit,0.90,0.10
onlinemedicinebazar.com,scam,0.45,0.55
bestbuy.com,legit,0.70,0.30
thetravelwrapcompany.com,legit,0.70,0.30
palmplaystore.com,scam,0.45,0.55
