domain,label
amazon.ca,0
bestbuy.com,0
houseofstori.com,1
paclights.com,1
amazon.com,0
magicsneaker.com,0
mini.com.au,0
canna-seeds.com.ua,1
h2obungalow.com,0
hardyofficial.com,0
nike.com,0
closetlondon.com,0
mignonfaget.com,0
amazon.de,0
potenzapothekede.com,1
caraudio24.de,0
meethue.com,0
walmart.com,0
versagripps.com,0
luminarc.com,0
target.com,0
aliexpress.com,0
ozon.ru,0
amazon.in,0
amazon.co.jp,0
amazon.fr,0
trendyol.com,0
pinko-kz.kz,0
ikea.com,0
rakuten.com,0
rakuten.co.jp,0
wildberries.ru,0
lilsoles.ca,0
shopee.co.id,0
homedepot.com,0
thetravelwrapcompany.com,0
kaspi.kz,0
temu.com,0
ozone.ru,1
jojomommy.com,0
travelcoffeebook.com,0
eldiablotranquilo.com,0
palmplaystore.com,1
onlinemedicinebazar.com,1
babyworld.se,0
