URL,Category,Confidence
blendjet.com,Beauty/Health,0.301
puravidabracelets.com,Kids,0.36
quip.com,Marketplace,0.137
allbirds.com,Fashion,0.56
manscaped.com,General Merchandise,0.2
colourpop.com,Beauty/Health,0.341
mvmt.com,General Merchandise,0.2
diffeyewear.com,Fashion,0.383
coconutlane.co,General Merchandise,0.2
theouai.com,Fashion,0.26
hellofreshshop.com,General Merchandise,0.2
gymshark.com,General Merchandise,0.2
blenderseyewear.com,Beauty/Health,0.262
lovebonito.com,Fashion,0.524
burga.com,Electronics,0.325
pinko-kz.kz,Beauty/Health,0.056
handembroidery.com,Fashion,0.367
canna-seeds.com.ua,Fashion,0.071
h2obungalow.com,Home,0.3
aliexpress.com,General Merchandise,0.2
houseofstori.com,Fashion,0.402
wildberries.ru,Beauty/Health,0.048
ozone.ru,General Merchandise,0.2
bestbuy.com,General Merchandise,0.2
closetlondon.com,General Merchandise,0.2
target.com,Kids,0.498
onlinemedicinebazar.com,Beauty/Health,0.423
thegreennugget.com,General Merchandise,0.225
paclights.com,Home,0.346
thelightingcontroller.com,Beauty/Health,0.119
rakuten.com,Marketplace,0.347
etsy.com,Electronics,0.25
travelcoffeebook.com,Fashion,0.022
lilsoles.ca,Fashion,0.368
shopee.co.id,General Merchandise,0.2
potenzapothekede.com,Beauty/Health,0.11
amazon.fr,Fashion,0.193
walmart.com,General Merchandise,0.391
homedepot.com,Home,0.116
amazon.in,Electronics,0.404
temu.com,Fashion,0.458
amazon.com,Fashion,0.411
magicsneaker.com,Fashion,0.213
hardyofficial.com,General Merchandise,0.2
mignonfaget.com,Home,0.359
luminarc.com,Fashion,0.106
pinkmartinicollection.com,Fashion,0.313
jojomommy.com,Kids,0.444
thetravelwrapcompany.com,General Merchandise,0.2
trendyol.com,Fashion,0.183
skroutz.gr,General Merchandise,0.2
kaspi.kz,General Merchandise,0.132
meethue.com,Home,0.398
palmplaystore.com,General Merchandise,0.2
